,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,Cluster,Station,Latitude,Longitude
133,0.41666666666666663,0.2,0.0,0.10126582278481013,0.13157894736842105,0.18181818181818182,0.04878048780487805,0.36363636363636365,0.07547169811320754,0.031746031746031744,1,Karkarduma Court,28.6536001,77.29578769999998
134,0.16666666666666666,0.2,0.0,0.05063291139240506,0.05263157894736842,0.4545454545454546,0.21951219512195122,0.18181818181818182,0.32075471698113206,0.015873015873015872,1,Krishna Nagar,28.6578461,77.2901853
135,0.08333333333333333,0.3333333333333333,0.0,0.21518987341772153,0.07894736842105263,0.2727272727272727,0.17073170731707318,0.09090909090909091,0.1509433962264151,0.047619047619047616,1,Sarojini Nagar,28.5741575,77.1953703
137,0.25,0.3333333333333333,0.2,0.0759493670886076,0.02631578947368421,0.4545454545454546,0.0975609756097561,0.2727272727272727,0.33962264150943394,0.09523809523809523,1,Ashram,28.5724231,77.2585979
138,0.16666666666666666,0.26666666666666666,0.2,0.34177215189873417,0.10526315789473684,0.4545454545454546,0.12195121951219512,0.09090909090909091,0.24528301886792453,0.1111111111111111,1,Durgabai Deshmukh South Campus,28.589438399999995,77.1690817
139,0.16666666666666666,0.2,0.0,0.0759493670886076,0.0,0.36363636363636365,0.14634146341463417,0.18181818181818182,0.16981132075471697,0.015873015873015872,1,Delhi Cantonment,28.5938331,77.1349789145993
141,0.08333333333333333,0.4,0.0,0.11392405063291139,0.0,0.7272727272727273,0.24390243902439024,0.8181818181818182,0.07547169811320754,0.015873015873015872,1,Mayur Vihar Pocket I,28.6058619,77.29870229999999
143,0.08333333333333333,0.13333333333333333,0.6000000000000001,0.08860759493670886,0.02631578947368421,0.5454545454545454,0.07317073170731708,0.36363636363636365,0.1320754716981132,0.06349206349206349,1,Mayapuri,28.6371795,77.1297333
145,0.08333333333333333,0.13333333333333333,0.0,0.10126582278481013,0.05263157894736842,0.36363636363636365,0.07317073170731708,0.36363636363636365,0.07547169811320754,0.06349206349206349,1,Mandawali – West Vinod Nagar,28.6249712,77.3044906
147,0.25,0.26666666666666666,0.4,0.13924050632911392,0.15789473684210525,0.36363636363636365,0.14634146341463417,0.5454545454545454,0.09433962264150943,0.031746031746031744,1,Chirag Delhi,28.5381411,77.2280694
151,0.16666666666666666,0.4,0.2,0.05063291139240506,0.10526315789473684,0.6363636363636364,0.12195121951219512,0.2727272727272727,0.05660377358490566,0.031746031746031744,1,Dabri Mor-Janakpuri South,28.6157555,77.085178
152,0.16666666666666666,0.26666666666666666,0.2,0.21518987341772153,0.13157894736842105,0.4545454545454546,0.12195121951219512,0.2727272727272727,0.05660377358490566,0.06349206349206349,1,R.K.Puram,28.5514261,77.18470119999998
153,0.41666666666666663,0.13333333333333333,0.0,0.21518987341772153,0.15789473684210525,0.2727272727272727,0.1951219512195122,0.18181818181818182,0.03773584905660377,0.06349206349206349,1,Sukhdev Vihar,28.559747700000006,77.2749004
159,0.0,0.3333333333333333,0.0,0.08860759493670886,0.02631578947368421,0.2727272727272727,0.024390243902439025,0.4545454545454546,0.07547169811320754,0.09523809523809523,1,Jasola Vihar Shaheen Bagh,28.5458279,77.29665779999998
160,0.08333333333333333,0.4666666666666667,0.2,0.08860759493670886,0.02631578947368421,0.4545454545454546,0.0975609756097561,0.18181818181818182,0.43396226415094336,0.031746031746031744,1,Jamia Millia Islamia,28.55849025,77.28116473551759
161,0.25,0.06666666666666667,0.0,0.2911392405063291,0.13157894736842105,0.36363636363636365,0.6341463414634146,0.36363636363636365,0.16981132075471697,0.07936507936507936,1,Okhla NSIC,28.5544828,77.2648487
163,0.3333333333333333,0.26666666666666666,0.0,0.26582278481012656,0.15789473684210525,0.4545454545454546,0.5365853658536586,0.36363636363636365,0.3018867924528302,0.19047619047619047,1,Nehru Enclave,28.5460584,77.25150570000002
164,0.25,0.13333333333333333,0.0,0.0759493670886076,0.02631578947368421,0.36363636363636365,0.1951219512195122,0.18181818181818182,0.3018867924528302,0.07936507936507936,1,Palam,28.5918933,77.0828242
165,0.25,0.2,0.0,0.24050632911392406,0.13157894736842105,0.6363636363636364,0.29268292682926833,0.36363636363636365,0.18867924528301885,0.09523809523809523,1,Panchsheel Park,28.5433525,77.2140757
173,0.0,0.2,0.0,0.05063291139240506,0.02631578947368421,0.4545454545454546,0.04878048780487805,0.2727272727272727,0.03773584905660377,0.047619047619047616,1,Paschim Vihar West,28.6786514,77.1022255
178,0.08333333333333333,0.3333333333333333,0.2,0.06329113924050633,0.05263157894736842,0.4545454545454546,0.14634146341463417,0.4545454545454546,0.3018867924528302,0.06349206349206349,1,Paschim Vihar East,28.6773985,77.1122953
185,0.08333333333333333,0.5333333333333333,0.2,0.18987341772151897,0.18421052631578946,0.4545454545454546,0.12195121951219512,0.18181818181818182,0.33962264150943394,0.07936507936507936,1,Punjabi Bagh,28.668945,77.13246140000003
188,0.5,0.13333333333333333,0.0,0.0759493670886076,0.07894736842105263,0.4545454545454546,0.12195121951219512,0.09090909090909091,0.09433962264150943,0.09523809523809523,1,Bata Chowk,28.3858361,77.313462
192,0.3333333333333333,0.3333333333333333,0.0,0.27848101265822783,0.13157894736842105,0.36363636363636365,0.6829268292682927,0.18181818181818182,0.16981132075471697,0.047619047619047616,1,Kalkaji Mandir,28.5497752,77.26066709999998
196,0.16666666666666666,0.2,0.2,0.20253164556962025,0.07894736842105263,0.18181818181818182,0.17073170731707318,0.4545454545454546,0.16981132075471697,0.047619047619047616,1,Jawaharlal Nehru Stadium,28.58337705,77.23354040287734
198,0.41666666666666663,0.26666666666666666,0.0,0.3670886075949367,0.18421052631578946,0.4545454545454546,0.6097560975609756,0.09090909090909091,0.2641509433962264,0.19047619047619047,1,Nehru Place,28.54925735,77.25295199508821
201,0.5833333333333333,0.3333333333333333,0.0,0.1518987341772152,0.07894736842105263,0.4545454545454546,0.14634146341463417,0.36363636363636365,0.18867924528301885,0.031746031746031744,1,Jangpura,28.58245705,77.2415000727384
202,0.6666666666666666,0.2,0.2,0.13924050632911392,0.07894736842105263,0.18181818181818182,0.2682926829268293,0.0,0.6792452830188679,0.06349206349206349,1,Delhi Gate,28.639203600000002,77.24078229999998
