,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,Cluster,Station,Latitude,Longitude
64,0.8333333333333333,0.26666666666666666,0.2,0.13924050632911392,0.0,0.18181818181818182,0.7560975609756098,0.18181818181818182,0.20754716981132074,0.1111111111111111,2,Preet Vihar,28.6414952,77.2953744289202
74,0.9166666666666666,0.26666666666666666,0.2,0.06329113924050633,0.0,0.36363636363636365,0.6097560975609756,0.09090909090909091,0.07547169811320754,0.06349206349206349,2,Supreme Court,28.6222879,77.23943396872133
79,0.3333333333333333,0.26666666666666666,0.4,0.26582278481012656,0.23684210526315788,0.36363636363636365,0.29268292682926833,0.2727272727272727,0.20754716981132074,0.30158730158730157,2,Rajendra Place,28.642495500000006,77.17827559999998
80,0.41666666666666663,0.6,0.4,0.4810126582278481,0.15789473684210525,0.4545454545454546,0.07317073170731708,0.09090909090909091,0.32075471698113206,0.047619047619047616,2,Rajouri Garden,28.6421518,77.11606037769262
81,0.08333333333333333,0.6,0.4,0.4430379746835443,0.10526315789473684,0.18181818181818182,0.21951219512195122,0.09090909090909091,0.1320754716981132,0.7301587301587301,2,Ramakrishna Ashram Marg,28.6392436,77.2085787
82,0.25,0.5333333333333333,0.4,0.20253164556962025,0.13157894736842105,0.36363636363636365,0.07317073170731708,0.18181818181818182,0.22641509433962265,0.12698412698412698,2,Ramesh Nagar,28.6527444,77.13164959999997
113,0.3333333333333333,0.8666666666666667,0.8,0.24050632911392406,0.13157894736842105,0.4545454545454546,0.2682926829268293,0.2727272727272727,0.2830188679245283,0.4603174603174603,2,Karol Bagh,28.644186600000005,77.189132
121,0.5833333333333333,0.5333333333333333,0.8,0.25316455696202533,0.05263157894736842,0.2727272727272727,0.0975609756097561,0.36363636363636365,0.18867924528301885,0.3333333333333333,2,South,28.6517178,77.22193879999998
140,0.25,0.6666666666666666,0.4,0.27848101265822783,0.05263157894736842,0.6363636363636364,0.14634146341463417,0.4545454545454546,0.2641509433962264,0.07936507936507936,2,Vinobapuri,28.566976300000004,77.24919059999998
155,0.75,0.26666666666666666,0.2,0.49367088607594933,0.15789473684210525,0.8181818181818182,0.1951219512195122,0.2727272727272727,0.2641509433962264,0.2222222222222222,2,Greater Kailash,28.5418777,77.2384553
157,0.25,0.6666666666666666,0.4,0.3037974683544304,0.23684210526315788,0.4545454545454546,0.21951219512195122,0.5454545454545454,0.16981132075471697,0.047619047619047616,2,Vasant Vihar,28.56069055,77.16079073168568
158,0.3333333333333333,0.4,0.4,0.31645569620253167,0.15789473684210525,0.5454545454545454,0.21951219512195122,0.6363636363636364,0.2830188679245283,0.06349206349206349,2,Munirka,28.554886,77.17108409999999
190,0.3333333333333333,0.5333333333333333,0.6000000000000001,0.24050632911392406,0.05263157894736842,0.4545454545454546,0.24390243902439024,0.18181818181818182,0.1320754716981132,0.09523809523809523,2,Jama Masjid,28.65001015,77.23767616659065
200,0.6666666666666666,0.4666666666666667,1.0,0.11392405063291139,0.10526315789473684,0.2727272727272727,0.36585365853658536,0.18181818181818182,0.20754716981132074,0.047619047619047616,2,Janpath,28.6088598,77.2181649
208,0.5833333333333333,0.8,0.4,0.18987341772151897,0.02631578947368421,0.7272727272727273,0.14634146341463417,0.2727272727272727,0.1509433962264151,0.09523809523809523,2,Lal Qila,28.656682,77.236612
212,0.5833333333333333,0.5333333333333333,0.8,0.25316455696202533,0.05263157894736842,0.2727272727272727,0.0975609756097561,0.36363636363636365,0.18867924528301885,0.3333333333333333,2,Sarai,28.6517178,77.22193879999998
