,Station,Line,Latitude,Longitude,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
23,Chandni Chowk,1,28.6605039,77.22977970000001,6,12,0,20,1,11,6,2,11,6
24,Central Secretariat,1,28.6158794,77.2122822,4,8,4,9,8,5,36,3,5,14
25,AIIMS,1,28.5668602,77.2078058,4,3,3,19,6,1,11,3,6,5
26,Vishwa Vidyalaya,1,28.6950369,77.2147192,1,7,0,9,0,3,4,3,12,5
27,Vidhan Sabha,1,28.6863222,77.2217271,3,3,0,4,2,3,4,1,6,2
28,Sultanpur,1,28.4616582,76.8700852,0,0,0,1,1,0,0,0,0,0
29,Arjan Garh,1,28.4807352,77.1257622,2,1,0,2,0,2,6,0,4,3
30,Lok Kalyan Marg,1,28.598384999999997,77.2029964,3,4,0,9,5,4,5,0,10,5
31,Malviya Nagar,1,28.5339201,77.2124474,7,4,1,67,16,8,11,4,47,10
32,MG Road,1,28.479457899999996,77.0804652,4,5,2,38,8,4,34,7,38,3
33,Udyog Bhawan,1,28.610530199999996,77.21310759999999,3,8,5,5,1,4,24,2,4,2
34,Azadpur,1,28.707656800000002,77.1755473,0,1,0,7,0,4,3,2,9,4
35,Major Mohit Sharma,2,28.677611199999998,77.3581426,4,2,0,4,1,4,4,0,8,3
36,Hindon,2,28.878965,77.41548320000001,0,0,0,0,0,0,0,0,0,0
37,Kashmere Gate,2,28.6517178,77.22193879999999,7,8,4,20,2,3,4,4,10,21
38,Mansarovar Park,2,28.6757386,77.300102,3,4,0,3,0,3,12,2,9,5
39,Kanhaiya Nagar,2,28.6800635,77.1648445,0,1,0,4,0,2,7,2,2,3
40,Inderlok,2,28.6517178,77.22193879999999,7,8,4,20,2,3,4,4,10,21
41,Welcome,2,28.6517178,77.22193879999999,7,8,4,20,2,3,4,4,10,21
42,Netaji Subhash Place,2,28.69605175,77.15264042023938,2,15,1,15,1,3,3,3,10,2
43,Mohan Nagar,2,28.60631905,77.10608184860985,0,4,0,5,0,5,5,3,6,0
44,Jhilmil,2,28.6757033,77.31250457549734,0,0,0,10,0,5,4,5,20,2
45,Keshav Puram,2,28.688926399999996,77.16168329999999,0,2,0,5,0,3,2,2,3,3
46,Pitam Pura,2,28.703267600000004,77.1322497,5,5,1,5,1,4,3,4,5,4
47,Pratap Nagar,2,28.666490200000002,77.19933567849505,1,2,0,5,0,1,1,0,7,4
48,Tis Hazari,2,28.667132300000002,77.21662796383895,1,3,1,6,0,2,3,0,12,4
49,Arthala,2,28.676999,77.3918919,1,1,0,3,0,1,6,0,5,1
50,Pul Bangash,2,28.6663751,77.20752911898111,1,4,1,9,0,1,3,0,10,6
51,Raj Bagh,2,28.640860200000002,77.20949990000001,2,8,1,33,7,7,8,2,7,55
52,Shaheed Sthal,2,28.6706109,77.4155822,2,3,0,1,1,1,4,0,16,1
53,Dilshad Garden,2,28.67588615,77.32143997586601,0,5,0,10,0,2,3,3,4,4
54,Kohat Enclave,2,28.6980415,77.14053929999999,5,4,0,13,0,4,21,6,3,3
